name,domain,url,title,confidence
Cyclery & Fitness Center,earlsbikes.com,https://earlsbikes.com/,Earl's Cyclery & Fitness | Vermont's Largest Bike Shop,0.67
Bike & Hike Effingham,bikeandhikeeffingham.com,https://bikeandhikeeffingham.com/,Bike & Hike,1.0
PRO BIKE+RUN Monroeville,probikerun.com,https://www.probikerun.com/contact/monroeville-pg203.htm?srsltid=AfmBOop9FlPwzVhmjVlc87zz6FXcm-c7mWxpo5vWtCI7453h9jblFG-m,"Monroeville | Hours & Directions - Pro Bike + Run | Pittsburgh, PA",1.0
Summit Bicycles,linkedin.com,https://www.linkedin.com/company/summit-bicycles,Summit Bicycles | LinkedIn,1.0
Hey June Stationery Shop & Letterpress Studio,stationerystoreday.org,https://stationerystoreday.org/pages/shops,Official Stationery Store Day Shops,0.33
Cyclery & Fitness Center,earlsbikes.com,https://earlsbikes.com/,Earl's Cyclery & Fitness | Vermont's Largest Bike Shop,0.67
Bike & Hike Effingham,bikeandhikeeffingham.com,https://bikeandhikeeffingham.com/,Bike & Hike,1.0
First Trax,firsttraxvt.net,https://www.firsttraxvt.net/,"FirstTrax | Montgomery, Vermont Outdoor Gear Shop, Guiding ...",1.0
The Jay Cloud Cyclery,thejaycloud.com,https://www.thejaycloud.com/,"The Jay Cloud Cyclery | Montgomery Center, VT",1.0
Skirack,skirack.com,https://www.skirack.com/,"Ski & Bike Shop in Burlington, VT | Skirack",1.0
Outdoor Gear Exchange,gearx.com,https://www.gearx.com/,Outdoor Gear Exchange,1.0
Alpine Shop VT,alpineshopvt.com,https://www.alpineshopvt.com/contact/,Contact Alpine Shop - AlpineShopVT.com,1.0
Old Brick Store,oldbrickfurniture.com,https://www.oldbrickfurniture.com/,"Old Brick | Furniture & Mattress Store in NY, VT, and MA | Old",1.0
Ranch Camp,ranchcampvt.com,https://www.ranchcampvt.com/,"Ranch Camp | Bikes, Beers, Burritos | Stowe Restaurant, Bike Shop & Bar ...",1.0
Hitchhiker Bike Shop,hitchhikerbikes.com,https://www.hitchhikerbikes.com/,"Hitchhiker Bike Shop, Stowe, VT",1.0
Bicycle Express,bikeexpressvt.com,https://www.bikeexpressvt.com/,Bicycle Express | Vermont's Bike Shop for Everyone,1.0
Onion River Outdoors,onionriver.com,https://www.onionriver.com/,Onion River Outdoors,1.0
Middlebury Mountaineer,community.sevendaysvt.com,https://community.sevendaysvt.com/location/middlebury-mountaineer-2535435,Middlebury Mountaineer | Middlebury Area | Outdoor Gear | Shopping,1.0
The Middlebury Shop (Forth 'N Goal - since 1983),linkedin.com,https://www.linkedin.com/company/middshop,The Middlebury Shop ( Forth ' N Goal Sports) | LinkedIn,0.75
Frog Hollow Bikes,froghollowbikes.com,https://froghollowbikes.com/contact/,Contact - Frog Hollow Bikes,1.0
The Gear House,gearhousevt.com,https://www.gearhousevt.com/,"Bicycle shop | The Gear House | Randolph, VT",1.0
Base Camp,basecampcyclery.com,https://basecampcyclery.com/,"Base Camp Cyclery | Bike Shop in Denver, CO",1.0
DownValley Bikes,downvalleyvt.com,https://www.downvalleyvt.com/,DownValley Bikes and Apparel,1.0
The Boot Pro Ski & Bike,thebootpro.net,https://www.thebootpro.net/,Homepage - The Boot Pro Ski & Bike Shop - The Boot Pro Ski & Bike Shop,1.0
H.N. Williams Store,vermont.com,https://vermont.com/shopping/,The best Shopping in Vermont,0.5
The Mountain Goat,mountaingoatbicycles.com,https://www.mountaingoatbicycles.com/goat-history/,Goat History | Mountain Goat Bicycles,0.67
